colour,n_test,top1_recall,top3_recall,mean_top1_prob,mean_top1_top2_margin
brown,740,0.4783783783783784,0.7662162162162162,0.24665496750512841,0.10704311051046173
grey,740,0.49324324324324326,0.6486486486486487,0.373751024637321,0.23476158891760837
black,740,0.3472972972972973,0.6081081081081081,0.4395527651235119,0.2852772464291702
white,741,0.4979757085020243,0.5883940620782726,0.23245964844044317,0.07742836496042592
pink,740,0.3608108108108108,0.5743243243243243,0.19734321013636089,0.04503586747242822
red,739,0.4397834912043302,0.5561569688768606,0.3252082521241181,0.17620137925763582
yellow,741,0.009446693657219974,0.5330634278002699,0.22832471484530542,0.07340397697255237
orange,740,0.21351351351351353,0.5256756756756756,0.20624925501333832,0.05472836190515411
blue,740,0.05945945945945946,0.5094594594594595,0.24709315639044413,0.09551258943700548
green,740,0.03783783783783784,0.44594594594594594,0.21103110955453055,0.060703954015749226
purple,740,0.014864864864864866,0.33783783783783783,0.23436458242669703,0.08703119343289059
turquoise,739,0.08254397834912043,0.28416779431664413,0.20094875703603754,0.051739520393380506
